nhiet_do_moi_truong,nhiet_do_quy_trinh,toc_do_quay,momen_xoan,do_mon_dao,loai_san_pham,ca_lam_viec,hong_hoc
299.33,311.29,1180.0,51.51,185.1,H,Sáng,0
302.34,312.9,1686.3,53.49,161.7,L,Đêm,0
299.96,310.97,1357.3,36.68,159.0,H,Sáng,0
302.85,312.9,1530.3,55.85,220.9,M,Chiều,0
298.23,307.85,1800.7,28.08,173.0,M,Đêm,0
303.85,313.41,1364.4,41.23,194.5,H,Đêm,0
297.65,308.67,1581.8,47.33,217.0,L,Đêm,0
301.17,309.68,1609.3,47.96,231.3,M,Sáng,0
298.29,309.41,1355.4,44.02,184.6,L,Sáng,0
297.48,305.73,1324.0,43.45,244.2,H,Chiều,1
298.77,309.08,1505.8,46.74,150.0,H,Chiều,0
299.5,310.23,1673.3,37.73,51.3,H,Đêm,0
295.66,304.73,1398.2,28.36,76.2,L,Đêm,0
302.23,312.28,1730.4,50.15,107.1,L,Chiều,0
301.49,311.17,1454.4,35.0,177.1,H,Chiều,0
298.93,309.31,1383.2,27.19,108.4,M,Sáng,0
296.86,308.0,1492.0,41.26,76.9,L,Sáng,0
298.25,308.6,1415.6,44.75,80.2,L,Sáng,0
298.72,310.73,1731.9,30.9,123.7,H,Chiều,0
302.01,312.25,1494.0,52.37,191.6,L,Đêm,0
298.24,309.17,1352.3,31.99,78.7,L,Đêm,0
300.17,311.83,1811.1,30.57,239.7,L,Chiều,0
302.2,312.29,1680.0,51.13,161.0,M,Sáng,0
301.33,312.64,1753.3,49.17,50.1,L,Sáng,0
301.67,311.72,1322.2,42.57,132.7,H,Chiều,0
302.21,313.23,1504.3,23.59,93.4,L,Đêm,0
300.89,310.76,1694.4,44.39,141.4,M,Sáng,0
302.78,312.89,1491.1,33.12,13.6,L,Đêm,0
305.21,316.54,1501.6,42.03,226.0,M,Đêm,0
300.73,311.91,1346.3,38.18,152.1,L,Đêm,0
302.11,312.9,1395.5,36.83,207.2,L,Sáng,0
298.41,309.15,1472.8,38.01,105.5,M,Đêm,0
302.99,313.08,1581.6,38.62,25.4,L,Chiều,0
299.24,309.22,1461.3,37.12,155.6,L,Sáng,0
298.43,308.78,1776.7,57.78,231.0,H,Sáng,0
303.11,313.28,1397.6,46.02,204.6,H,Chiều,0
297.66,306.14,1699.3,42.1,149.0,H,Đêm,0
299.2,309.27,1723.1,41.3,41.4,M,Sáng,0
302.43,313.14,1771.3,46.71,119.9,L,Đêm,0
300.13,310.75,1364.8,42.75,66.4,L,Sáng,0
298.51,309.62,1343.9,36.88,219.9,M,Đêm,0
303.16,312.58,1681.2,42.47,242.2,L,Sáng,0
298.44,308.98,1653.3,56.58,189.6,M,Chiều,0
297.53,306.97,1439.8,39.81,245.9,H,Đêm,0
300.91,311.19,1782.7,39.28,252.6,L,Đêm,1
299.31,309.26,1468.2,40.64,133.5,L,Đêm,0
300.37,311.42,1440.3,59.94,148.6,L,Sáng,0
299.25,310.91,1717.2,48.68,94.0,L,Chiều,0
297.57,309.17,1548.4,52.83,14.1,L,Sáng,0
302.01,310.21,1588.0,50.81,138.9,L,Chiều,0
302.48,312.73,1499.9,48.99,99.4,H,Chiều,0
298.98,309.3,1292.2,29.25,43.5,H,Chiều,0
296.4,307.87,1440.6,47.51,102.8,L,Sáng,0
299.7,309.52,1509.4,35.69,6.6,M,Đêm,0
299.46,307.87,1325.8,26.72,90.1,L,Chiều,1
299.63,309.36,1779.5,24.18,78.6,M,Sáng,0
300.56,308.61,1552.4,58.77,32.2,H,Chiều,0
298.32,308.83,1588.0,36.64,127.2,H,Sáng,0
298.84,310.29,1247.1,44.05,186.8,M,Chiều,0
297.05,306.77,1481.9,43.01,208.1,M,Sáng,0
302.8,312.74,1525.5,47.99,125.7,L,Sáng,0
299.45,309.09,1951.7,52.58,172.6,H,Chiều,0
297.34,306.13,1620.5,32.71,167.2,H,Chiều,0
302.35,312.91,1347.2,45.51,14.4,H,Sáng,0
302.77,312.97,1483.3,46.91,213.1,M,Sáng,0
300.69,311.14,1607.3,24.47,223.7,L,Đêm,0
298.34,307.39,1730.0,45.78,215.3,M,Chiều,0
299.89,311.1,1541.5,47.15,126.3,M,Sáng,0
300.57,310.93,1734.6,46.67,160.8,H,Sáng,0
298.2,307.15,1672.2,39.91,36.0,L,Sáng,0
301.66,311.73,1401.5,39.43,85.1,H,Chiều,0
297.96,307.36,1629.9,47.18,197.3,M,Đêm,0
299.65,309.27,1297.9,32.03,60.8,M,Sáng,0
296.96,305.7,1654.9,47.68,158.7,M,Sáng,0
299.32,307.95,1563.6,47.81,21.5,M,Sáng,0
301.38,310.66,1554.1,31.73,5.1,L,Đêm,0
300.12,310.09,1565.1,36.27,165.5,L,Đêm,0
298.73,309.52,1509.0,45.56,205.1,H,Đêm,0
300.87,310.94,1406.7,25.76,95.6,M,Sáng,0
303.07,311.68,1358.1,50.81,228.7,L,Đêm,0
299.62,309.42,1432.3,44.07,12.7,L,Đêm,0
300.93,311.91,1649.1,40.58,48.4,L,Đêm,0
299.95,309.29,1658.2,27.84,73.2,L,Đêm,1
297.86,306.62,1714.5,26.92,43.0,M,Đêm,0
302.71,313.24,1652.7,58.12,225.9,H,Chiều,0
299.69,311.81,1383.9,38.0,225.5,L,Chiều,0
301.96,312.15,1549.0,45.27,1.8,H,Sáng,0
299.7,309.16,1380.5,36.92,49.6,H,Đêm,0
297.99,308.69,1672.6,33.37,214.9,L,Chiều,0
298.25,309.3,1432.7,26.4,201.2,L,Sáng,0
298.0,308.68,1304.5,41.05,114.6,L,Sáng,0
298.55,309.8,1855.3,33.79,231.5,M,Chiều,0
297.54,305.54,1418.7,27.98,94.6,H,Chiều,0
299.34,309.86,1481.7,33.77,235.8,M,Đêm,0
299.18,308.57,1650.9,37.14,134.6,H,Chiều,1
301.36,311.11,1384.3,40.67,183.0,M,Sáng,0
297.85,307.69,1749.4,30.28,246.4,L,Sáng,1
300.02,309.84,1418.6,53.44,142.7,L,Đêm,0
299.66,310.45,1671.9,34.09,59.7,H,Sáng,0
302.13,312.25,1870.1,23.7,212.1,H,Đêm,0
297.99,306.76,1535.4,36.0,54.5,L,Đêm,0
296.36,308.65,1777.6,25.21,61.3,M,Đêm,0
298.96,310.08,1606.5,37.45,127.9,L,Chiều,0
303.1,313.76,1624.8,40.66,154.0,H,Sáng,0
299.42,308.88,1671.3,46.48,154.0,M,Sáng,0
298.09,308.46,1451.2,44.94,228.0,M,Đêm,0
297.95,308.48,1789.2,36.82,225.3,H,Chiều,0
301.74,312.17,1401.4,29.53,137.9,H,Sáng,0
298.58,306.94,1573.0,28.79,87.9,L,Sáng,0
298.71,309.24,1729.2,29.79,200.9,M,Chiều,0
299.74,309.63,1525.5,30.62,236.1,M,Đêm,0
298.69,307.68,1552.2,23.12,209.9,L,Đêm,0
302.95,313.13,1551.9,25.83,153.9,L,Chiều,0
302.25,311.76,1668.3,50.85,46.4,H,Chiều,0
299.92,310.47,1303.0,49.01,175.2,M,Sáng,0
298.66,309.36,1470.5,39.72,218.8,L,Đêm,0
300.76,311.34,1683.8,33.57,12.4,L,Chiều,0
300.37,310.76,1933.9,32.07,178.5,L,Sáng,0
299.23,311.22,1567.2,51.36,34.7,M,Sáng,0
303.71,313.26,1695.2,42.67,157.2,M,Sáng,0
297.97,308.33,1318.0,57.81,1.4,M,Sáng,0
297.94,306.98,1292.5,29.88,16.6,M,Chiều,0
300.26,310.58,1353.6,45.87,96.4,L,Đêm,0
297.68,307.6,1620.7,60.62,139.4,M,Sáng,0
298.89,309.28,1345.8,65.33,54.5,L,Đêm,0
298.31,306.37,1852.9,31.76,36.6,H,Chiều,0
297.17,306.68,1393.5,44.22,227.6,L,Chiều,0
303.13,312.88,1479.7,36.57,88.6,H,Chiều,0
305.62,315.42,1749.4,46.73,175.2,L,Đêm,0
297.43,306.53,1545.2,24.22,199.5,M,Chiều,0
298.77,307.94,1596.4,42.87,252.2,H,Chiều,1
298.47,308.98,1784.9,32.4,119.2,L,Chiều,0
302.24,312.43,1581.1,33.57,92.3,L,Đêm,0
297.41,307.16,1386.4,54.66,172.1,H,Sáng,0
298.97,308.76,1476.8,39.83,128.8,L,Sáng,0
302.66,312.94,1590.8,53.84,85.7,L,Đêm,0
299.88,309.15,1716.8,37.21,18.8,H,Chiều,0
301.89,311.87,1761.9,31.5,150.5,H,Sáng,0
299.61,308.75,1623.0,31.99,72.5,L,Đêm,0
301.7,312.22,1354.7,52.04,130.5,L,Chiều,0
297.18,305.47,1506.7,44.41,53.1,L,Sáng,0
302.19,312.28,1789.5,51.2,106.4,H,Sáng,0
297.51,309.18,1510.4,37.46,52.0,H,Đêm,0
298.57,308.39,1396.6,41.88,228.2,L,Sáng,0
298.03,306.65,1537.7,44.05,56.5,M,Chiều,0
299.27,310.84,1519.3,43.63,169.7,H,Sáng,0
302.57,313.81,1781.9,17.94,25.6,H,Chiều,0
300.76,311.52,1358.4,29.6,35.1,M,Chiều,0
297.74,308.58,1571.2,53.7,174.0,L,Chiều,0
294.51,302.89,1263.1,43.34,214.8,L,Sáng,1
302.15,312.81,1467.2,48.6,103.5,L,Chiều,0
305.18,315.18,1533.8,39.25,97.4,M,Đêm,0
300.72,310.34,1932.1,48.5,92.4,H,Đêm,0
297.84,305.92,1604.7,35.13,106.2,L,Sáng,0
300.88,311.34,1627.9,44.03,34.0,M,Sáng,0
298.98,309.04,1635.2,37.11,193.7,L,Đêm,0
299.02,308.36,1507.4,44.21,228.5,M,Sáng,0
295.04,303.13,1749.2,54.02,109.6,H,Sáng,0
296.65,307.16,1772.5,39.87,5.5,L,Đêm,0
298.31,308.31,1382.9,47.38,114.4,L,Đêm,0
297.48,306.69,1741.7,51.61,210.9,M,Sáng,0
298.38,306.01,1502.8,28.27,170.0,L,Chiều,0
301.32,312.2,1319.2,55.25,120.8,L,Sáng,0
303.54,313.48,1386.2,36.5,145.0,L,Sáng,0
300.74,308.49,1540.5,43.14,47.5,M,Sáng,0
300.8,311.62,1472.0,53.06,210.4,L,Đêm,0
300.2,308.9,1481.0,28.46,105.8,L,Sáng,0
298.69,309.04,1457.8,31.6,163.1,M,Chiều,0
296.7,306.52,1325.3,44.42,65.8,H,Sáng,0
298.77,309.08,1426.0,55.08,234.8,H,Chiều,0
298.81,310.36,1215.0,43.43,237.4,L,Sáng,0
300.71,308.66,1959.0,28.42,198.7,H,Sáng,0
301.91,311.55,1733.7,43.5,203.4,H,Đêm,0
298.97,309.69,1383.3,34.49,92.3,L,Sáng,0
303.59,311.34,1628.4,44.92,17.4,M,Sáng,0
298.28,308.08,1237.4,25.31,139.4,H,Chiều,0
301.64,312.99,1436.5,31.19,16.6,H,Đêm,0
302.37,312.36,1387.0,39.12,104.1,M,Sáng,0
299.13,309.93,1288.9,49.01,50.7,L,Sáng,0
302.88,314.85,1568.0,40.3,62.1,M,Sáng,0
299.57,309.28,1632.8,25.87,160.4,L,Chiều,0
297.72,307.34,1508.0,46.66,211.3,L,Sáng,0
298.33,309.69,1644.5,35.83,168.4,L,Sáng,0
303.16,312.61,1656.3,35.47,105.8,L,Sáng,0
298.58,307.7,1245.9,41.33,20.9,M,Đêm,0
301.73,312.57,1496.4,39.07,29.3,M,Chiều,1
300.28,311.11,1594.6,41.27,201.8,L,Sáng,0
298.22,308.16,1565.1,36.75,117.7,H,Đêm,0
299.44,309.65,1407.3,33.61,60.6,M,Sáng,0
300.13,310.21,1580.5,37.93,11.0,L,Sáng,0
301.62,310.85,1805.8,37.98,174.4,L,Chiều,0
295.91,306.42,1609.4,36.79,37.8,H,Chiều,1
297.27,307.95,1790.1,15.22,41.0,M,Đêm,0
297.62,308.07,1577.8,50.67,185.0,M,Chiều,0
298.93,307.72,1467.9,33.09,239.1,H,Sáng,0
301.16,310.89,1343.2,42.09,78.8,M,Chiều,0
299.13,309.75,1546.4,48.64,24.6,M,Đêm,0
300.97,312.52,1670.4,55.32,140.3,M,Sáng,0
303.96,315.08,1561.1,37.58,34.8,L,Đêm,0
299.42,308.17,1538.9,28.28,222.0,H,Sáng,0
300.39,309.12,1677.1,47.65,17.5,M,Chiều,0
300.54,311.77,1659.5,46.84,60.5,L,Đêm,0
296.95,307.2,1321.5,37.09,45.8,M,Sáng,0
296.72,307.63,1718.6,44.3,92.3,L,Đêm,0
299.78,309.38,1433.4,56.06,155.8,M,Đêm,0
301.41,310.5,1822.1,29.18,159.2,L,Sáng,0
298.77,309.49,1512.5,33.46,47.7,L,Chiều,0
301.59,311.84,1529.4,51.75,103.1,H,Chiều,0
298.98,308.68,1474.5,41.19,96.8,L,Sáng,0
304.92,313.07,1576.4,47.84,94.1,L,Chiều,0
299.27,310.28,1559.8,43.0,91.8,L,Đêm,0
299.42,308.89,1412.3,50.2,46.3,M,Đêm,0
304.58,314.03,1570.2,30.7,23.1,M,Chiều,0
299.63,307.37,1180.0,49.39,217.7,L,Đêm,1
298.88,306.92,1407.8,26.84,94.8,L,Đêm,0
299.34,309.76,1180.0,48.87,163.5,H,Sáng,0
300.42,310.31,1743.6,36.89,120.7,M,Sáng,0
299.57,309.64,1407.5,19.96,139.9,L,Chiều,0
298.47,307.48,1629.6,31.87,93.5,H,Chiều,0
301.73,312.85,1526.3,45.96,214.2,M,Sáng,0
299.51,307.87,1763.6,53.71,118.3,L,Sáng,0
298.02,307.15,1453.6,38.98,207.1,L,Sáng,0
300.31,310.85,1725.1,37.54,125.8,M,Sáng,0
300.07,310.46,1250.2,42.51,104.0,M,Đêm,0
297.36,307.43,1942.3,45.55,103.0,H,Sáng,0
302.19,312.9,1795.9,41.87,67.4,H,Đêm,0
296.02,307.39,1647.6,37.44,74.1,L,Sáng,0
299.83,310.12,1416.0,68.35,24.6,M,Sáng,0
301.45,312.26,1556.7,47.66,48.3,M,Sáng,1
300.41,310.11,1783.8,34.73,190.9,M,Chiều,0
298.47,308.39,1520.9,54.48,196.3,L,Sáng,0
300.82,311.72,1590.6,37.72,82.6,H,Sáng,0
297.13,308.36,1582.5,29.89,190.0,L,Chiều,0
299.01,308.96,1422.8,40.56,81.4,L,Chiều,0
302.87,314.13,1573.0,46.45,198.0,M,Đêm,0
299.99,312.29,1802.2,49.94,80.7,M,Chiều,0
300.79,309.3,1366.6,53.12,85.6,H,Chiều,1
302.4,314.33,1743.6,29.15,84.9,L,Đêm,0
299.19,307.27,1699.4,50.06,247.5,M,Đêm,1
298.74,308.87,1536.8,49.13,59.2,L,Sáng,0
300.84,308.98,1465.1,30.64,116.6,L,Chiều,0
298.89,311.19,1299.1,39.49,136.4,L,Đêm,0
300.77,309.78,1583.2,53.76,233.5,L,Đêm,0
298.34,309.34,1378.5,45.02,6.5,M,Đêm,0
299.49,309.21,1851.6,39.66,181.2,L,Chiều,0
302.0,312.12,1646.9,34.39,213.1,M,Sáng,0
299.97,310.95,1780.2,48.1,177.1,L,Sáng,1
299.92,311.11,1412.2,49.42,67.8,H,Sáng,0
298.5,307.83,1650.1,46.41,218.9,L,Đêm,0
297.95,307.8,1489.5,52.18,246.7,L,Chiều,1
299.66,312.38,1453.7,33.88,127.3,L,Sáng,0
298.98,309.83,1492.1,50.36,113.1,L,Chiều,0
298.35,309.35,1180.0,37.92,241.0,H,Chiều,0
298.44,308.04,1666.0,41.98,95.1,L,Sáng,0
301.66,311.58,1889.3,41.18,212.8,M,Sáng,0
298.9,310.15,1398.2,50.19,190.0,H,Chiều,0
299.38,308.97,1547.8,25.8,203.7,H,Sáng,0
301.36,310.48,1862.9,29.99,5.1,L,Chiều,0
302.17,311.51,1747.5,20.62,94.8,H,Sáng,0
298.19,307.93,1699.9,57.97,220.0,L,Đêm,0
300.84,311.55,1525.9,42.76,140.9,L,Sáng,0
303.31,312.99,1537.1,30.78,251.6,M,Đêm,1
301.49,312.66,1599.6,38.97,56.7,M,Chiều,0
297.53,306.78,1319.3,37.6,69.9,M,Sáng,0
298.27,309.96,1388.5,53.95,184.7,L,Chiều,0
302.86,313.65,1857.3,47.27,135.3,L,Đêm,0
298.82,306.87,1774.2,42.28,247.4,H,Sáng,1
299.37,309.4,1718.4,68.59,56.5,M,Sáng,1
299.89,310.21,1613.3,21.9,116.3,L,Sáng,0
300.38,311.54,1287.7,17.78,115.4,L,Sáng,1
297.81,306.97,1381.9,32.77,219.9,L,Sáng,0
301.36,309.94,1587.5,40.16,20.5,H,Chiều,0
303.19,314.05,1415.7,35.09,210.5,L,Chiều,0
296.21,306.56,1654.8,45.26,24.4,L,Sáng,0
298.88,309.4,1258.7,51.27,64.5,M,Sáng,0
300.23,308.67,1773.1,33.87,94.5,L,Chiều,0
299.51,309.58,1729.5,36.93,138.7,L,Sáng,0
299.96,308.36,1426.9,41.28,124.8,L,Chiều,0
300.4,310.51,1389.8,51.84,23.6,L,Chiều,0
300.8,310.21,1598.1,48.7,47.1,L,Chiều,0
301.39,312.34,1379.0,40.94,78.6,M,Sáng,0
299.06,309.79,1667.4,37.07,112.1,H,Sáng,0
296.05,305.8,1591.5,52.63,137.0,H,Chiều,0
298.99,308.33,1537.2,49.17,74.9,M,Sáng,0
301.51,311.48,1394.4,32.55,93.4,M,Đêm,0
304.44,315.11,1281.1,47.28,14.3,H,Chiều,0
299.0,307.78,1421.0,46.67,120.7,L,Chiều,0
298.55,309.33,1496.4,41.8,195.2,H,Sáng,0
296.62,306.64,1700.6,43.47,23.3,H,Chiều,0
300.23,309.98,1539.2,35.17,79.2,L,Sáng,0
301.21,310.08,1651.8,46.63,87.7,L,Sáng,0
300.11,310.09,1430.3,50.56,138.3,L,Sáng,0
302.33,310.87,1483.8,28.92,109.8,M,Chiều,0
298.73,306.96,1597.7,33.73,228.8,L,Chiều,0
298.87,308.7,1491.0,39.71,69.8,M,Đêm,0
304.93,313.92,1416.1,57.84,159.7,M,Sáng,0
298.08,307.86,1180.0,51.83,24.5,M,Chiều,0
298.7,308.84,1716.4,37.35,17.1,L,Sáng,0
300.46,310.28,1191.8,30.54,73.9,M,Chiều,0
300.41,310.06,1525.6,35.01,38.2,L,Chiều,0
300.27,311.94,1415.5,51.56,209.6,M,Chiều,0
297.7,306.04,2026.0,54.22,53.7,L,Đêm,1
302.79,313.42,1218.4,44.27,204.4,H,Chiều,0
299.46,310.82,1523.3,30.39,18.2,M,Chiều,0
299.09,308.4,1726.6,35.02,7.4,M,Chiều,1
295.84,306.16,1654.5,46.78,249.3,L,Chiều,0
301.83,311.87,1520.2,32.7,65.7,L,Chiều,0
299.41,309.97,1659.3,52.26,245.4,L,Đêm,1
296.15,306.02,1579.5,46.61,87.6,M,Sáng,0
299.4,310.96,1537.2,43.59,13.2,L,Sáng,0
297.76,308.24,1622.5,28.59,4.8,L,Chiều,0
298.13,308.18,1580.8,51.8,119.4,M,Sáng,0
300.85,311.26,1433.4,20.97,103.3,L,Chiều,0
301.02,310.65,1912.3,30.3,23.8,M,Sáng,0
297.55,307.6,1401.8,52.61,171.0,M,Đêm,0
298.29,307.95,1418.3,41.84,56.9,H,Chiều,0
301.5,312.31,1554.7,47.83,102.0,L,Đêm,0
300.16,310.59,1373.1,53.36,116.7,L,Sáng,0
299.4,309.18,1700.0,61.19,218.7,L,Đêm,1
301.59,311.84,1690.2,45.74,111.6,M,Sáng,0
301.42,312.23,1532.7,41.42,161.3,L,Chiều,0
303.89,314.54,1357.3,66.16,223.3,M,Sáng,1
301.9,311.46,1466.3,49.93,200.0,L,Đêm,0
300.5,310.65,1561.1,49.93,245.0,M,Sáng,1
299.66,308.35,1184.7,44.42,98.8,M,Đêm,0
295.71,305.69,1976.6,35.02,237.4,H,Chiều,0
299.58,308.83,1467.2,38.3,21.6,M,Đêm,0
300.84,312.09,1285.4,25.76,167.0,M,Sáng,0
298.98,308.56,1441.6,23.74,17.1,M,Đêm,0
297.91,309.93,1725.8,52.21,182.0,H,Chiều,0
299.25,307.68,1556.3,39.98,244.4,L,Sáng,0
301.0,310.81,1192.7,39.33,245.0,L,Sáng,0
302.83,314.06,1544.7,25.89,176.6,H,Sáng,0
297.19,308.94,1510.4,31.8,40.8,M,Sáng,0
298.28,308.76,1406.8,49.97,75.6,L,Chiều,0
298.68,308.15,1644.6,48.03,66.3,L,Sáng,0
301.68,310.91,1466.4,42.57,214.7,L,Sáng,0
302.45,312.16,1489.1,48.3,29.0,H,Chiều,0
300.38,309.8,1939.9,32.8,17.6,L,Chiều,0
297.88,306.35,1611.7,42.39,180.2,M,Đêm,1
297.78,307.39,1208.9,47.98,191.2,H,Chiều,0
300.4,309.83,1298.6,45.54,214.9,L,Chiều,0
300.28,310.23,1345.8,38.55,85.6,L,Chiều,0
303.77,313.61,1436.5,30.56,42.3,M,Sáng,0
300.79,310.38,1421.9,47.99,219.0,M,Đêm,1
298.13,308.59,1383.1,48.6,37.0,H,Chiều,0
296.82,305.22,1722.4,36.98,45.5,L,Sáng,0
300.28,309.78,1785.8,46.58,112.1,L,Chiều,0
303.65,314.1,1180.0,47.07,74.3,L,Chiều,0
299.06,307.65,1387.5,30.6,108.0,M,Sáng,0
300.96,311.19,1631.9,40.99,128.3,L,Sáng,0
301.45,309.17,1487.7,46.69,115.7,M,Sáng,0
296.59,305.8,1438.5,40.97,125.3,L,Đêm,0
302.46,312.21,1346.7,45.66,192.9,L,Chiều,0
302.84,311.82,1676.9,11.89,117.9,M,Đêm,1
297.69,307.32,1302.2,40.87,138.2,M,Chiều,0
301.31,310.43,1584.4,41.91,105.8,H,Sáng,0
298.44,308.28,1418.2,41.83,174.2,M,Đêm,0
304.07,313.77,1445.3,49.28,155.5,H,Đêm,0
297.87,307.13,1727.9,43.84,21.8,M,Đêm,0
298.04,307.49,1421.0,27.18,5.7,M,Đêm,0
304.75,315.69,1501.4,38.28,126.2,M,Sáng,0
298.29,309.47,1676.6,41.94,52.9,L,Đêm,0
302.09,311.41,1510.7,31.81,84.3,L,Chiều,0
299.65,309.45,1454.5,33.76,39.7,L,Chiều,0
298.11,310.58,1564.1,37.9,81.6,L,Đêm,0
299.23,311.26,1420.8,58.59,193.4,L,Đêm,0
299.12,310.36,1192.8,22.84,111.2,L,Đêm,0
301.22,313.66,1496.1,46.21,217.5,H,Sáng,0
300.39,309.69,1616.7,59.62,98.2,H,Đêm,0
302.08,312.14,1180.0,32.5,136.1,H,Sáng,0
300.25,311.1,1501.1,61.82,19.8,L,Sáng,0
299.01,307.6,1982.4,44.75,156.3,L,Đêm,0
303.1,313.06,1562.7,40.59,97.6,M,Sáng,0
298.14,308.63,1429.3,44.79,59.2,H,Đêm,0
299.53,308.59,1541.1,26.71,180.5,M,Chiều,0
304.37,316.22,1481.4,36.53,98.0,L,Đêm,0
301.01,308.07,1180.0,35.72,170.2,L,Sáng,1
300.11,309.42,1570.1,32.33,64.7,M,Sáng,0
299.48,310.5,1632.4,36.04,112.8,L,Sáng,0
298.09,307.61,1747.5,42.07,123.5,L,Đêm,0
301.08,310.89,1499.2,35.82,192.0,M,Chiều,0
298.8,309.08,1705.0,36.18,109.8,L,Đêm,0
298.79,307.66,1358.5,34.07,198.6,L,Sáng,0
302.0,312.35,1655.8,28.77,240.3,M,Sáng,0
299.0,308.26,1550.8,54.16,71.8,M,Chiều,0
296.94,306.24,1705.6,36.42,127.9,M,Sáng,0
297.69,308.86,1721.8,45.08,193.2,L,Chiều,0
302.38,312.95,1507.3,42.69,22.7,L,Sáng,0
300.97,310.83,1769.6,29.83,208.1,L,Đêm,0
297.99,309.09,1729.5,36.21,14.4,L,Đêm,0
296.68,304.65,1575.0,35.35,223.3,H,Chiều,0
298.34,308.29,1766.4,39.62,246.2,H,Chiều,1
299.98,308.34,1351.3,39.0,241.4,M,Sáng,1
298.37,308.53,1658.3,46.89,105.3,M,Chiều,0
298.04,308.19,1693.6,25.45,196.1,L,Chiều,0
297.87,306.98,1427.3,32.04,207.8,L,Đêm,0
302.48,312.31,1437.9,46.19,195.2,H,Sáng,0
300.52,310.59,1653.7,32.3,12.2,M,Chiều,0
297.32,305.57,1796.8,45.92,81.9,L,Chiều,0
298.52,307.49,1263.2,45.25,82.2,L,Đêm,0
299.17,307.23,1766.5,44.32,29.8,M,Sáng,0
302.93,313.39,1777.0,24.5,93.2,L,Chiều,0
301.43,312.59,1652.2,28.95,189.1,L,Đêm,0
300.25,309.68,1408.3,47.6,192.3,H,Sáng,0
299.34,311.22,1651.1,38.21,202.0,M,Đêm,0
302.0,312.75,1713.2,43.65,67.0,L,Đêm,0
299.72,309.18,1735.4,35.0,193.1,M,Sáng,0
300.26,311.65,1303.1,25.04,198.5,L,Sáng,0
298.92,308.92,1448.5,47.2,176.1,M,Chiều,0
299.56,309.39,1624.3,36.14,187.6,L,Sáng,0
300.42,310.74,1453.7,33.92,1.0,L,Đêm,0
298.03,308.96,1258.1,36.93,39.8,H,Sáng,0
298.48,309.78,1608.7,41.56,4.5,L,Đêm,0
293.47,300.99,1540.3,47.68,231.8,M,Sáng,0
296.17,304.62,1701.5,33.3,77.6,M,Sáng,0
299.2,309.63,1688.6,17.37,150.5,H,Chiều,0
296.41,305.02,1711.7,40.41,190.3,M,Chiều,0
302.97,312.47,1616.0,31.65,126.6,L,Chiều,0
298.41,306.31,1436.6,35.15,8.5,H,Chiều,0
298.38,310.67,1513.0,32.89,35.8,L,Đêm,0
297.59,307.68,1655.3,45.18,62.3,L,Đêm,0
299.28,309.33,1505.4,36.67,25.1,M,Sáng,0
299.35,309.74,1355.8,40.02,196.8,H,Đêm,0
300.73,312.45,1703.2,29.67,63.5,L,Sáng,0
298.87,308.28,1523.7,41.45,180.1,L,Sáng,0
300.07,310.34,1582.9,38.97,133.8,L,Sáng,0
298.18,308.34,1372.5,43.51,161.6,L,Sáng,0
300.9,312.04,1365.2,31.77,234.6,L,Sáng,0
295.96,304.88,1987.9,39.55,53.9,H,Sáng,0
300.91,312.29,1637.9,31.67,61.8,L,Chiều,0
298.03,309.14,1753.7,43.48,27.5,L,Sáng,0
299.81,311.47,1684.1,44.73,204.5,M,Chiều,0
299.32,311.72,1439.2,20.77,134.2,L,Sáng,0
299.25,311.19,1345.1,49.91,171.5,L,Sáng,0
296.71,304.76,1607.2,36.72,24.2,L,Chiều,0
296.62,307.03,1822.3,36.6,135.1,M,Sáng,0
297.91,308.23,1195.0,28.39,6.6,L,Chiều,0
297.83,307.41,1823.2,22.63,159.2,H,Sáng,0
304.06,313.65,1465.6,13.17,166.3,M,Sáng,1
297.07,307.62,1383.3,34.99,215.1,L,Đêm,0
301.43,311.85,1403.0,36.38,216.3,L,Sáng,0
300.08,310.88,1393.3,26.5,55.9,H,Sáng,0
304.89,314.56,1681.3,45.8,186.1,H,Chiều,0
299.96,308.96,1441.0,31.75,244.8,L,Chiều,1
299.12,309.08,1483.2,35.38,210.6,L,Sáng,0
302.47,313.85,1406.5,16.49,141.0,H,Đêm,1
300.64,309.63,1608.1,24.76,67.2,L,Sáng,0
302.27,312.67,1457.9,65.27,39.5,L,Chiều,0
298.8,308.14,1713.0,38.99,157.4,L,Đêm,0
300.96,309.95,1646.7,47.66,40.4,M,Chiều,0
299.68,310.74,1415.9,58.75,15.8,H,Sáng,0
299.84,309.72,1477.6,48.57,46.1,M,Đêm,0
300.64,310.75,1657.2,36.3,112.6,H,Đêm,0
300.41,309.63,1526.0,28.41,232.3,L,Chiều,0
299.69,308.92,1635.2,37.99,44.0,L,Chiều,0
300.33,311.0,1569.1,38.76,8.8,M,Đêm,0
300.9,310.61,1667.8,43.86,154.1,M,Đêm,0
300.86,311.29,1971.4,26.69,8.7,L,Đêm,0
301.18,310.18,1614.4,28.71,245.8,H,Sáng,1
300.65,310.86,1573.7,50.19,182.5,L,Chiều,0
301.13,310.34,1414.8,41.31,193.5,M,Sáng,0
301.85,313.29,1451.4,35.26,213.9,M,Đêm,0
299.59,309.0,1604.6,32.14,33.4,M,Đêm,0
